ID,URL,Title,Difficulty,Acceptance %,Frequency %
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,52.30%,50.00%
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,59.70%,50.00%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.00%,50.00%
131,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,Medium,72.40%,50.00%
2099,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,Find Subsequence of Length K With the Largest Sum,Easy,57.50%,37.50%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,41.20%,50.00%
130,https://leetcode.com/problems/surrounded-regions,Surrounded Regions,Medium,43.10%,37.50%
1070,https://leetcode.com/problems/product-sales-analysis-iii,Product Sales Analysis III,Medium,44.70%,50.00%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,64.00%,62.50%
2288,https://leetcode.com/problems/apply-discount-to-prices,Apply Discount to Prices,Medium,32.80%,37.50%
901,https://leetcode.com/problems/online-stock-span,Online Stock Span,Medium,67.60%,37.50%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,55.40%,37.50%
594,https://leetcode.com/problems/longest-harmonious-subsequence,Longest Harmonious Subsequence,Easy,63.70%,37.50%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,43.70%,37.50%
3330,https://leetcode.com/problems/find-the-original-typed-string-i,Find the Original Typed String I,Easy,72.00%,50.00%
258,https://leetcode.com/problems/add-digits,Add Digits,Easy,68.00%,37.50%
581,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Shortest Unsorted Continuous Subarray,Medium,37.50%,50.00%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,60.90%,37.50%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,65.80%,50.00%
1129,https://leetcode.com/problems/shortest-path-with-alternating-colors,Shortest Path with Alternating Colors,Medium,47.40%,37.50%
661,https://leetcode.com/problems/image-smoother,Image Smoother,Easy,68.40%,37.50%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,66.60%,50.00%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,51.60%,50.00%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.40%,50.00%
1838,https://leetcode.com/problems/frequency-of-the-most-frequent-element,Frequency of the Most Frequent Element,Medium,44.20%,50.00%
3333,https://leetcode.com/problems/find-the-original-typed-string-ii,Find the Original Typed String II,Hard,46.40%,50.00%
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,34.90%,50.00%
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard,39.60%,62.50%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,60.80%,37.50%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,34.40%,50.00%
2036,https://leetcode.com/problems/maximum-alternating-subarray-sum,Maximum Alternating Subarray Sum,Medium,39.80%,37.50%
763,https://leetcode.com/problems/partition-labels,Partition Labels,Medium,81.60%,37.50%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.00%,50.00%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.10%,37.50%
3307,https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii,Find the K-th Character in String Game II,Hard,48.80%,37.50%
561,https://leetcode.com/problems/array-partition,Array Partition,Easy,80.60%,37.50%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,34.50%,37.50%
841,https://leetcode.com/problems/keys-and-rooms,Keys and Rooms,Medium,74.80%,37.50%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,67.80%,37.50%
2643,https://leetcode.com/problems/row-with-maximum-ones,Row With Maximum Ones,Easy,74.50%,37.50%
3598,https://leetcode.com/problems/longest-common-prefix-between-adjacent-strings-after-removals,Longest Common Prefix Between Adjacent Strings After Removals,Medium,31.00%,37.50%
1008,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,Medium,83.40%,37.50%
2101,https://leetcode.com/problems/detonate-the-maximum-bombs,Detonate the Maximum Bombs,Medium,49.30%,37.50%
96,https://leetcode.com/problems/unique-binary-search-trees,Unique Binary Search Trees,Medium,62.50%,37.50%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,61.90%,50.00%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.60%,62.50%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,47.40%,37.50%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.30%,50.00%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,54.60%,37.50%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,38.60%,50.00%
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,62.00%,37.50%
852,https://leetcode.com/problems/peak-index-in-a-mountain-array,Peak Index in a Mountain Array,Medium,67.50%,50.00%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.60%,37.50%
542,https://leetcode.com/problems/01-matrix,01 Matrix,Medium,51.70%,50.00%
1751,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,Maximum Number of Events That Can Be Attended II,Hard,64.00%,50.00%
455,https://leetcode.com/problems/assign-cookies,Assign Cookies,Easy,54.00%,37.50%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.70%,37.50%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,46.80%,50.00%
3610,https://leetcode.com/problems/minimum-number-of-primes-to-sum-to-target,Minimum Number of Primes to Sum to Target,Medium,61.50%,87.50%
1217,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,Minimum Cost to Move Chips to The Same Position,Easy,72.40%,37.50%
61,https://leetcode.com/problems/rotate-list,Rotate List,Medium,40.10%,37.50%
1025,https://leetcode.com/problems/divisor-game,Divisor Game,Easy,70.50%,37.50%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.40%,37.50%
584,https://leetcode.com/problems/find-customer-referee,Find Customer Referee,Easy,71.70%,37.50%
108,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,Easy,74.20%,37.50%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.00%,37.50%
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,71.60%,37.50%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,66.70%,37.50%
94,https://leetcode.com/problems/binary-tree-inorder-traversal,Binary Tree Inorder Traversal,Easy,78.70%,37.50%
3439,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i,Reschedule Meetings for Maximum Free Time I,Medium,53.80%,50.00%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,40.50%,37.50%
1584,https://leetcode.com/problems/min-cost-to-connect-all-points,Min Cost to Connect All Points,Medium,69.20%,37.50%
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,48.20%,37.50%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.80%,37.50%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.10%,37.50%
601,https://leetcode.com/problems/human-traffic-of-stadium,Human Traffic of Stadium,Hard,49.80%,37.50%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,76.60%,37.50%
3440,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii,Reschedule Meetings for Maximum Free Time II,Medium,60.60%,37.50%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,65.90%,37.50%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,59.10%,37.50%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.40%,37.50%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.80%,37.50%
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,49.00%,37.50%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,41.40%,37.50%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,62.10%,37.50%
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,58.90%,37.50%
